Period,min_error,max_error,mean_error,median_error,rmse
Whole Period,-29485.0,639.0,-29.938708661417323,0.0,906.9103651374268
After COVID-19,-28373.0,403.0,-50.52994660124116,0.0,1176.5684410945219
Before COVID-19,-29485.0,639.0,-13.990051419628884,0.0,622.3593833065555
Peak Period,-28373.0,403.0,-60.97133250752079,0.0,1302.6767533001982
Non-Peak Period,-29485.0,639.0,-12.786384976525822,0.0,582.3610953888792
